브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
에이수스,에이수스 2024 비보북 S 15 라이젠5 라이젠 7000 시리즈,"899,000원","849,000원",로켓배송,없음,"색상: 뉴트럴 블랙, 저장용량 × RAM용량 × 운영체제: 512GB × 16GB × Free DOS","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7535HS, 화면크기: 39.62cm, 중량: 1.5kg, 출시년월: 2024.04, 쿠팡상품번호: 8003096116 - 22296194064",https://www.coupang.com/vp/products/8003096116?itemId=22296194064&vendorItemId=89341695020
기가바이트,기가바이트 2024 G5 KF5 15.6 코어i7 인텔 13세대 지포스 RTX 4060,"1,499,000원","1,299,000원",로켓배송,없음,"색상: 블랙, 저장용량 × RAM용량 × 운영체제: 1TB × 16GB × Free DOS","CPU 모델명: 코어i7, CPU 모델 번호: 코어i7-13620H, GPU 모델명: 지포스 RTX 4060, 중량: 2.08kg, 출시년월: 2024.04, 쿠팡상품번호: 8000539317 - 22277681010",https://www.coupang.com/vp/products/8000539317?itemId=22277681010&vendorItemId=89323300985
레노버,레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈,"488,990원","358,990원",로켓배송,4,"색상: Cloud Grey (82VG), 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 82VG002EKR","CPU 모델명: 라이젠3, CPU 모델 번호: 라이젠3-7320U, 화면크기: 39.6cm, 중량: 1.58kg, 화면크기(인치): 약 15.6인치에 해당함, 쿠팡상품번호: 6990469893 - 17107738286",https://www.coupang.com/vp/products/6990469893?itemId=17107738286&vendorItemId=84281482577&pickType=COU_PICK
에이수스,"에이수스 Vivobook Go 15 라이젠5 라이젠 7000 시리즈
            쿨 실버 · 256GB · 16GB · WIN11 Home · E1504FA-BQ494","624,040원","544,040원",로켓배송,3,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7520U, GPU 모델명: 내장그래픽 / Radeon 610M, 화면크기: 39.62cm, 중량: 1.63kg, 쿠팡상품번호: 7186200172 - 19658671019",https://www.coupang.com/vp/products/7186200172?itemId=19658671019&vendorItemId=86755221728
LG전자,"LG전자 2023 그램15 코어i5 인텔 13세대
            스노우 화이트 · 256GB · 16GB · WIN11 Home · 15Z90RU-GAOWK","1,550,000원","1,395,000원",로켓배송,6,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1335U, 화면크기: 39.6cm, 중량: 1140g, 출시년월: 2023.02, 쿠팡상품번호: 7709148497 - 20660237250",https://www.coupang.com/vp/products/7709148497?itemId=20660237250&vendorItemId=86160350574
레노버,레노버 아이디어패드 슬림 1 15IJL7 15.6 셀러론 인텔 10세대,"369,000원","269,000원",로켓배송,3,"색상: SAND, 저장용량 × RAM용량 × 운영체제: 128GB × 4GB × WIN11 Home","CPU 모델명: 셀러론, CPU 모델 번호: Celeron N5100, 중량: 1.55kg, 그래픽카드 형태: 미장착, 저장장치: SSD, 쿠팡상품번호: 7730143093 - 19320398788",https://www.coupang.com/vp/products/7730143093?itemId=19320398788&vendorItemId=86434537380
레노버,레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대,"699,000원","679,000원",로켓배송,4,"색상: Arctic Grey, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × Free DOS × 83ER005YKR","CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-12450H, 중량: 1.62kg, 출시년월: 2023.09, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7743816755 - 20806316966",https://www.coupang.com/vp/products/7743816755?itemId=20806316966&vendorItemId=87875366904
HP,HP 2023 노트북 15 코어i5 인텔 13세대,"858,990원","808,990원",로켓배송,2,"색상: Natural Silver, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × WIN11 Home × 15-fd0096tu","CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1334U, 화면크기: 39.6cm, 중량: 1.6kg, 출시년월: 2023.04, 쿠팡상품번호: 7505816676 - 18629263312",https://www.coupang.com/vp/products/7505816676?itemId=18629263312&vendorItemId=85764591502
에이수스,"에이수스 Vivobook Go 15 라이젠5 라이젠 7000 시리즈
            쿨 실버 · 256GB · 16GB · Free DOS · E1504FA-BQ494","479,000원","399,000원",로켓배송,3,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5, GPU 모델명: 내장그래픽 / Radeon 610M, 화면크기: 39.62cm, 중량: 1.63kg, 쿠팡상품번호: 7186200172 - 18133826276",https://www.coupang.com/vp/products/7186200172?itemId=18133826276&vendorItemId=85284485959
HP,HP 2023 노트북 15 라이젠5 라이젠 7000 시리즈,"739,000원","699,000원",로켓배송,4,"색상: Natural Silver, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × WIN11 Home × 15-fc0072AU","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 화면크기: 39.6cm, 중량: 1.59kg, 출시년월: 2023.03, 쿠팡상품번호: 7505810587 - 18122375215",https://www.coupang.com/vp/products/7505810587?itemId=18122375215&vendorItemId=85273457615
